# 02/20/2021, 21:33:11 
# resultsAmadou 

# Visualization data
# time unit: min
# channels unit: MOhm


Time	ch1
  262.0000	   16.6302
  262.5000	   16.7584
  263.0000	   16.9589
  263.5000	   16.9994
  264.0000	   17.0651
  264.5000	   17.2579
  265.0000	   17.2368
  265.5000	   17.4057
  266.0000	   17.4967
  266.5000	   17.5316
  267.0000	   17.6472
  267.5000	   17.6136
  268.0000	   17.6973
  268.5000	   17.8646
  269.0000	   17.8819
  269.5000	   17.9541
  270.0000	   18.0393
  270.5000	    9.6656
  271.0000	    8.2510
  271.5000	    7.5448
  272.0000	    7.0762
  272.5000	    6.7298
  273.0000	    6.4710
  273.5000	    6.2421
  274.0000	    6.0577
  274.5000	    5.9090
  275.0000	    5.7681
  275.5000	    5.6366
  276.0000	    5.5298
  276.5000	    5.4198
  277.0000	    5.3229
  277.5000	    5.2466
  278.0000	    5.1632
  278.5000	    5.0913
  279.0000	    5.0193
  279.5000	    4.9570
  280.0000	    4.8945
  280.5000	    4.8296
  281.0000	    4.7820
  281.5000	    4.7333
  282.0000	    4.6816
  282.5000	    4.6330
  283.0000	    4.5903
  283.5000	    4.5421
  284.0000	    4.5024
  284.5000	    4.4672
  285.0000	    4.4324
  285.5000	    4.3977
  286.0000	    4.3636
  286.5000	    4.3212
  287.0000	    4.2922
  287.5000	    4.2651
  288.0000	    4.2362
  288.5000	    4.2095
  289.0000	    4.1764
  289.5000	    4.1540
  290.0000	    4.1221
  290.5000	    4.0974
  291.0000	    4.0727
  291.5000	    4.0483
  292.0000	    4.0289
  292.5000	    4.0084
  293.0000	    3.9817
  293.5000	    3.9682
  294.0000	    3.9463
  294.5000	    3.9208
  295.0000	    3.9006
  295.5000	    3.8877
  296.0000	    3.8667
  296.5000	    3.8448
  297.0000	    3.8326
  297.5000	    3.8102
  298.0000	    3.7945
  298.5000	    3.7797
  299.0000	    3.7615
  299.5000	    3.7475
  300.0000	    3.7343
  300.5000	    3.7194
  301.0000	    3.7055
  301.5000	    3.6938
  302.0000	    3.6791
  302.5000	    3.6635
  303.0000	    3.6480
  303.5000	    3.6385
  304.0000	    3.6213
  304.5000	    3.6139
  305.0000	    3.5954
  305.5000	    3.5902
  306.0000	    3.5724
  306.5000	    3.5657
  307.0000	    3.5542
  307.5000	    3.5425
  308.0000	    3.5243
  308.5000	    3.5154
  309.0000	    3.5071
  309.5000	    3.4996
  310.0000	    3.4826
  310.5000	    3.4714
  311.0000	    3.4653
  311.5000	    3.4533
  312.0000	    3.4442
  312.5000	    3.4369
  313.0000	    3.4227
  313.5000	    3.4150
  314.0000	    3.4077
  314.5000	    3.4017
  315.0000	    3.3924
  315.5000	   12.7883
  316.0000	   15.4821
  316.5000	   16.5032
  317.0000	   17.0469
  317.5000	   17.4799
  318.0000	   17.9157
  318.5000	   18.1605
  319.0000	   18.3838
  319.5000	   18.5761
  320.0000	   18.9161
  320.5000	   19.0773
  321.0000	   19.1726
  321.5000	   19.3088
  322.0000	   19.4561
  322.5000	   19.7319
  323.0000	   19.8383
  323.5000	   19.8677
  324.0000	   20.0477
  324.5000	   20.1372
  325.0000	   20.2878
  325.5000	   20.2721
  326.0000	   20.4529
  326.5000	   20.5384
  327.0000	   20.6036
  327.5000	   20.8105
  328.0000	   20.7299
  328.5000	   20.8989
  329.0000	   21.0145
  329.5000	   20.9810
  330.0000	   21.2292
  330.5000	   10.5929
  331.0000	    8.9656
  331.5000	    8.1792
  332.0000	    7.6645
  332.5000	    7.2961
  333.0000	    7.0021
  333.5000	    6.7629
  334.0000	    6.5576
  334.5000	    6.3784
  335.0000	    6.2201
  335.5000	    6.0760
  336.0000	    5.9597
  336.5000	    5.8458
  337.0000	    5.7393
  337.5000	    5.6441
  338.0000	    5.5468
  338.5000	    5.4711
  339.0000	    5.3871
  339.5000	    5.3140
  340.0000	    5.2500
  340.5000	    5.1785
  341.0000	    5.1195
  341.5000	    5.0654
  342.0000	    5.0119
  342.5000	    4.9614
  343.0000	    4.9040
  343.5000	    4.8547
  344.0000	    4.8103
