# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Normalization data
# time unit: min
# normalization point: 50.0 min


Time	ch1 norm	ch2 norm	ch3 norm	ch4 norm
218.0000000	 0.9488465	 0.9479860	 0.9130929	 1.0047211
219.0000000	 0.9499611	 0.9491418	 0.9149871	 1.0057654
220.0000000	 0.9512552	 0.9502988	 0.9170270	 1.0066817
221.0000000	 0.9522312	 0.9516974	 0.9189129	 1.0058346
222.0000000	 0.9535626	 0.9530475	 0.9206143	 1.0062339
223.0000000	 0.9547621	 0.9540071	 0.9225013	 1.0073238
224.0000000	 0.9556227	 0.9553032	 0.9244561	 1.0071090
225.0000000	 0.9565725	 0.9568014	 0.9258545	 1.0066389
226.0000000	 0.9575203	 0.9574157	 0.9276254	 1.0076175
227.0000000	 0.9583429	 0.9593863	 0.9292609	 1.0066845
228.0000000	 0.9592612	 0.9595967	 0.9304998	 1.0072689
229.0000000	 0.9601870	 0.9604501	 0.9320297	 1.0079169
230.0000000	 0.9605028	 0.9617420	 0.9335444	 1.0086003
231.0000000	 0.7404825	 0.7741042	 0.7673695	 0.6743261
232.0000000	 0.6771707	 0.7135249	 0.6977606	 0.6302297
233.0000000	 0.6479170	 0.6832586	 0.6606907	 0.6127917
234.0000000	 0.6310777	 0.6650165	 0.6381193	 0.6036925
235.0000000	 0.6194515	 0.6525423	 0.6223352	 0.5983998
236.0000000	 0.6112930	 0.6434743	 0.6110068	 0.5955583
237.0000000	 0.6047153	 0.6363265	 0.6024430	 0.5932431
238.0000000	 0.5996244	 0.6307702	 0.5956289	 0.5918865
239.0000000	 0.5955669	 0.6260796	 0.5899073	 0.5904564
240.0000000	 0.5922806	 0.6225130	 0.5859125	 0.5934741
241.0000000	 0.6449214	 0.6656199	 0.6206095	 0.7049147
242.0000000	 0.6819372	 0.6957455	 0.6452364	 0.7591172
243.0000000	 0.7094175	 0.7198220	 0.6651268	 0.7975720
244.0000000	 0.7324692	 0.7393378	 0.6819397	 0.8268584
245.0000000	 0.7520078	 0.7557697	 0.6966533	 0.8516585
246.0000000	 0.7685400	 0.7704899	 0.7101813	 0.8717608
247.0000000	 0.7829339	 0.7838234	 0.7221251	 0.8881214
248.0000000	 0.7962959	 0.7956817	 0.7331278	 0.9030558
249.0000000	 0.8076486	 0.8061180	 0.7435101	 0.9155430
250.0000000	 0.8180689	 0.8153324	 0.7531352	 0.9249557
251.0000000	 0.8273700	 0.8241793	 0.7617877	 0.9337850
252.0000000	 0.8358957	 0.8326981	 0.7701308	 0.9434446
253.0000000	 0.8438497	 0.8400909	 0.7778098	 0.9506237
254.0000000	 0.8515281	 0.8473371	 0.7851209	 0.9556861
255.0000000	 0.8578252	 0.8535975	 0.7918753	 0.9611099
256.0000000	 0.8642407	 0.8596260	 0.7986547	 0.9668277
257.0000000	 0.8699613	 0.8653648	 0.8048766	 0.9699076
258.0000000	 0.8754008	 0.8705575	 0.8106465	 0.9737638
259.0000000	 0.8804956	 0.8749525	 0.8162587	 0.9778643
260.0000000	 0.8851707	 0.8801679	 0.8218308	 0.9802474
261.0000000	 0.8889972	 0.8847863	 0.8267003	 0.9830252
262.0000000	 0.8932387	 0.8897118	 0.8314109	 0.9857428
263.0000000	 0.8968790	 0.8929818	 0.8363102	 0.9873084
264.0000000	 0.9006212	 0.8964677	 0.8405529	 0.9886394
265.0000000	 0.9038419	 0.8999948	 0.8448454	 0.9914095
266.0000000	 0.9070997	 0.9037044	 0.8488916	 0.9934524
267.0000000	 0.9098925	 0.9070024	 0.8529763	 0.9936943
268.0000000	 0.9129741	 0.9102850	 0.8565002	 0.9954163
269.0000000	 0.9153591	 0.9126406	 0.8604851	 0.9965479
270.0000000	 0.9176402	 0.9153610	 0.8638408	 0.9970493
271.0000000	 0.9204123	 0.9181878	 0.8670649	 0.9982289
272.0000000	 0.9230443	 0.9205809	 0.8705498	 0.9991233
273.0000000	 0.9245932	 0.9233108	 0.8737534	 0.9985903
274.0000000	 0.9267668	 0.9253008	 0.8764806	 0.9987626
275.0000000	 0.9289544	 0.9268641	 0.8795219	 1.0002337
276.0000000	 0.9308086	 0.9290608	 0.8823105	 1.0004680
277.0000000	 0.9325718	 0.9308848	 0.8850082	 1.0002693
278.0000000	 0.9344528	 0.9328447	 0.8875608	 1.0012097
279.0000000	 0.9358999	 0.9348840	 0.8904410	 1.0011448
280.0000000	 0.9376939	 0.9357821	 0.8927434	 1.0012906
281.0000000	 0.9391354	 0.9384301	 0.8953384	 1.0025346
282.0000000	 0.9405502	 0.9397525	 0.8975888	 1.0017274
283.0000000	 0.9418757	 0.9413368	 0.8997822	 1.0024512
284.0000000	 0.9434579	 0.9426070	 0.9019850	 1.0028468
285.0000000	 0.9441730	 0.9443523	 0.9040193	 1.0024664
286.0000000	 0.9454670	 0.9456707	 0.9058926	 1.0025899
287.0000000	 0.9471793	 0.9474906	 0.9081342	 1.0035202
288.0000000	 0.9479466	 0.9486396	 0.9099374	 1.0030346
289.0000000	 0.9491028	 0.9493147	 0.9116964	 1.0025870
290.0000000	 0.9503117	 0.9505825	 0.9135150	 1.0036981
291.0000000	 0.9509674	 0.9518408	 0.9153935	 1.0035628
292.0000000	 0.9520409	 0.9527859	 0.9169525	 1.0031949
293.0000000	 0.9532322	 0.9541439	 0.9187819	 1.0037904
294.0000000	 0.9539042	 0.9552614	 0.9202473	 1.0041160
295.0000000	 0.9548908	 0.9554197	 0.9219260	 1.0036056
296.0000000	 0.9558557	 0.9564150	 0.9233266	 1.0040032
297.0000000	 0.9565779	 0.9582721	 0.9248115	 1.0041544
298.0000000	 0.9573422	 0.9590796	 0.9265185	 1.0042476
299.0000000	 0.9583423	 0.9589916	 0.9277007	 1.0035111
300.0000000	 0.9589947	 0.9598460	 0.9288660	 1.0040884
301.0000000	 0.9596264	 0.9606040	 0.9302403	 1.0045580
302.0000000	 0.9600206	 0.9615344	 0.9315549	 1.0038671
303.0000000	 0.9610979	 0.9615037	 0.9325309	 1.0036320
304.0000000	 0.9615933	 0.9623882	 0.9339395	 1.0039379
305.0000000	 0.9618014	 0.9639162	 0.9352336	 1.0038102
306.0000000	 0.9624659	 0.9635435	 0.9362792	 1.0040135
307.0000000	 0.9625922	 0.9649348	 0.9374126	 1.0044752
308.0000000	 0.9634261	 0.9659691	 0.9384213	 1.0044121
309.0000000	 0.9639924	 0.9669093	 0.9395003	 1.0035859
310.0000000	 0.9642350	 0.9660745	 0.9405084	 1.0043322
311.0000000	 0.9649032	 0.9668626	 0.9415208	 1.0046232
312.0000000	 0.9652990	 0.9672463	 0.9424528	 1.0040864
313.0000000	 0.9656145	 0.9676550	 0.9431795	 1.0037676
314.0000000	 0.9660184	 0.9686366	 0.9443663	 1.0049324
315.0000000	 0.9660538	 0.9691690	 0.9451547	 1.0044099
316.0000000	 0.9670155	 0.9690602	 0.9459507	 1.0041787
317.0000000	 0.9670376	 0.9699367	 0.9467109	 1.0045689
318.0000000	 0.9672482	 0.9709723	 0.9475775	 1.0047740
319.0000000	 0.9677391	 0.9705448	 0.9484420	 1.0041460
320.0000000	 0.9682316	 0.9714864	 0.9491814	 1.0048637
321.0000000	 0.9682080	 0.9721209	 0.9502120	 1.0051950
322.0000000	 0.9691119	 0.9725736	 0.9509273	 1.0049003
323.0000000	 0.9696987	 0.9731043	 0.9516690	 1.0048007
324.0000000	 0.9699640	 0.9732596	 0.9526085	 1.0055180
325.0000000	 0.9706121	 0.9731149	 0.9531696	 1.0050608
326.0000000	 0.9709348	 0.9739567	 0.9538910	 1.0047536
327.0000000	 0.9715793	 0.9753364	 0.9547509	 1.0047785
328.0000000	 0.9718927	 0.9756674	 0.9556147	 1.0046946
329.0000000	 0.9726097	 0.9749179	 0.9562201	 1.0040648
330.0000000	 0.9730246	 0.9756289	 0.9570359	 1.0049165
331.0000000	 0.9732673	 0.9765128	 0.9575022	 1.0056275
332.0000000	 0.9736315	 0.9764166	 0.9584604	 1.0050690
333.0000000	 0.9744382	 0.9774022	 0.9589949	 1.0053957
334.0000000	 0.9747740	 0.9777777	 0.9596689	 1.0055509
335.0000000	 0.9748704	 0.9775398	 0.9603003	 1.0050526
336.0000000	 0.9756210	 0.9777324	 0.9608484	 1.0050801
337.0000000	 0.9759473	 0.9780550	 0.9615538	 1.0056464
338.0000000	 0.9767053	 0.9781854	 0.9620871	 1.0052585
339.0000000	 0.9770289	 0.9784876	 0.9624906	 1.0049402
340.0000000	 0.9769923	 0.9790743	 0.9633496	 1.0060607
